"Category","Time","Stratum","Units","Estimate","Std. Error for Estimate","Std. Error for ln(Estimate)"
"1","2006","Stratum_1"," [kg*km2/km2]",1223475395.38533,101023023.143785,0.103743292215241
"1","2007","Stratum_1"," [kg*km2/km2]",1784677937.04565,165259185.876607,0.115276807801783
"1","2008","Stratum_1"," [kg*km2/km2]",937971646.369671,75108943.5647528,0.0986293371118569
"1","2009","Stratum_1"," [kg*km2/km2]",2393691884.06863,185619574.041111,0.0931234086771703
"1","2010","Stratum_1"," [kg*km2/km2]",1819825975.79119,162859755.593909,0.109872297939376
"1","2011","Stratum_1"," [kg*km2/km2]",1998413149.03114,165496274.622409,0.101282947242134
"1","2012","Stratum_1"," [kg*km2/km2]",2207993498.82877,199171347.538116,0.111425280988764
"1","2013","Stratum_1"," [kg*km2/km2]",1360988531.87961,133826799.309313,0.12519944658781
"1","2014","Stratum_1"," [kg*km2/km2]",1504936581.4977,132668103.201885,0.111117073498614
